actual,predicted
25474,35837.81650135257
23164,126468.83947583947
20998,23303.006666666668
39839,126468.83947583947
15085,126468.83947583947
24399,35837.81650135257
22193,35837.81650135257
23723,23303.006666666668
30015,126468.83947583947
23642,35837.81650135257
20251,24995.2744665195
22470,35837.81650135257
22114,23303.006666666668
18143,23303.006666666668
21896,35837.81650135257
21152,35837.81650135257
22328,126468.83947583947
33937,24995.2744665195
28269,35837.81650135257
1484474,126468.83947583947
17899,23303.006666666668
30867,24995.2744665195
23294,24995.2744665195
22432,126468.83947583947
22995,35837.81650135257
22244,126468.83947583947
25729,23303.006666666668
74026,25274.01818181818
21588,35837.81650135257
26057,126468.83947583947
25200,126468.83947583947
41352,35837.81650135257
21964,23303.006666666668
22939,23303.006666666668
33661,126468.83947583947
19535,23303.006666666668
31168,23303.006666666668
23969,126468.83947583947
21398,126468.83947583947
24884,35837.81650135257
22077,23303.006666666668
24465,24995.2744665195
23732,24995.2744665195
24297,35837.81650135257
24331,24995.2744665195
24874,23303.006666666668
25569,35837.81650135257
23234,35837.81650135257
19794,23303.006666666668
29991,35837.81650135257
29830,35837.81650135257
23180,35837.81650135257
14128,126468.83947583947
21266,35837.81650135257
21516,24995.2744665195
21517,23303.006666666668
22132,35837.81650135257
21407,23303.006666666668
47753,23303.006666666668
25478,126468.83947583947
21040,35837.81650135257
24293,35837.81650135257
24717,126468.83947583947
27858,126468.83947583947
22275,24995.2744665195
26595,126468.83947583947
28946,24995.2744665195
22500,35837.81650135257
22392,946491.4666666667
26170,35837.81650135257
21892,100113.71875
22755,24995.2744665195
24173,126468.83947583947
22441,35837.81650135257
32749,126468.83947583947
25490,23303.006666666668
20776,35837.81650135257
841565,126468.83947583947
30753,35837.81650135257
23338,126468.83947583947
23046,126468.83947583947
20563,23303.006666666668
21778,23303.006666666668
21991,23303.006666666668
22871,126468.83947583947
27166,126468.83947583947
21556,23303.006666666668
22763,35837.81650135257
21734,23303.006666666668
22023,23303.006666666668
26782,35837.81650135257
22465,23303.006666666668
25241,23303.006666666668
26464,23303.006666666668
17303,126468.83947583947
21705,23303.006666666668
24670,24995.2744665195
21740,35837.81650135257
1084466,946491.4666666667
30785,30937.164705882355
21132,100113.71875
22844,126468.83947583947
17291,126468.83947583947
25123,126468.83947583947
30003,126468.83947583947
23162,24995.2744665195
24215,35837.81650135257
20327,35837.81650135257
21856,100113.71875
23909,25012.125
1089155,946491.4666666667
31266,25012.125
22265,35837.81650135257
23856,24995.2744665195
21431,35837.81650135257
21480,35837.81650135257
20811,23303.006666666668
22764,24995.2744665195
28213,126468.83947583947
18456,126468.83947583947
33363,126468.83947583947
24671,35837.81650135257
22584,23303.006666666668
24400,35837.81650135257
23402,24995.2744665195
21680,126468.83947583947
21342,23303.006666666668
19331,23303.006666666668
21467,24995.2744665195
26718,24995.2744665195
21878,35837.81650135257
21934,126468.83947583947
23010,25274.01818181818
23148,126468.83947583947
26505,24995.2744665195
2048175,126468.83947583947
24959,23303.006666666668
25199,126468.83947583947
22463,35837.81650135257
23259,24995.2744665195
28880,24995.2744665195
23277,24995.2744665195
22631,35837.81650135257
22532,23303.006666666668
23817,24995.2744665195
22996,25274.01818181818
24293,24995.2744665195
21488,126468.83947583947
21282,126468.83947583947
24976,24995.2744665195
17337,35837.81650135257
732022,1310669.6666666667
26672,126468.83947583947
20381,23303.006666666668
29686,126468.83947583947
30571,35837.81650135257
25419,35837.81650135257
38032,126468.83947583947
13206,23303.006666666668
21065,23303.006666666668
21540,126468.83947583947
24912,35837.81650135257
23689,35837.81650135257
22131,23303.006666666668
